CALCULO 1C                             ; CIENCIAS BIOLOGICAS       ; 24T45  ; SAMAMBAIA
PROBABILIDADE E ESTATISTICA A          ; INSTITUTO DE FISICA       ; 24T12  ; SAMAMBAIA
EDO                                    ; INSTITUTO DE FISICA       ; 24T34  ; SAMAMBAIA
EDO                                    ; ENGENHARIA MECANICA       ; 24T56  ; SAMAMBAIA
CALCULO 3A                             ; ENGENHARIA MECANICA       ; 24T34  ; SAMAMBAIA
CALCULO 3A                             ; INSTITUTO DE FISICA       ; 24T56  ; SAMAMBAIA
CALCULO 1B                             ; AGRONOMIA                 ; 25T23  ; SAMAMBAIA
CALCULO 1B                             ; AGRONOMIA                 ; 25T45  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; ENGENHARIA MECANICA       ; 35T12  ; SAMAMBAIA
GEOMETRIA ANALITICA                    ; INSTITUTO DE FISICA       ; 35T34  ; SAMAMBAIA
PROBABILIDADE E ESTATISTICA A          ; ENGENHARIA DE PRODUCAO    ; 35T12  ; SAMAMBAIA
ALGEBRA LINEAR                         ; ESTATISTICA               ; 35T34  ; SAMAMBAIA
CALCULO NUMERICO                       ; INSTITUTO DE FISICA       ; 35T34  ; SAMAMBAIA
CALCULO 3A                             ; ENGENHARIA QUIMICA        ; 35T23  ; SAMAMBAIA
CALCULO 1C                             ; ARQUITETURA               ; 35T23  ; SAMAMBAIA
CALCULO 1C                             ; BIOMEDICINA               ; 35T45  ; SAMAMBAIA
EDO                                    ; ENGENHARIA DE ALIMENTOS   ; 35T23  ; SAMAMBAIA
CALCULO 1C                             ; CIENCIAS AMBIENTAIS       ; 46T23  ; SAMAMBAIA
CALCULO 1C                             ; BIOTECNOLOGIA             ; 46T45  ; SAMAMBAIA
CALCULO 2B                             ; AGRONOMIA                 ; 46T23  ; SAMAMBAIA
CALCULO 2B                             ; AGRONOMIA                 ; 46T45  ; SAMAMBAIA
CALCULO 1A                             ; ENGENHARIA DE SOFTWARE    ; 246N23 ; SAMAMBAIA
CALCULO 1A                             ; SISTEMAS DE INFORMACAO    ; 246N45 ; SAMAMBAIA
